,model_names,prices
0,Zebronics Zeb-Alex Wired USB Optical Mouse with 3 Buttons,225
1,Zebronics Zeb-Comfort USB Optical Mouse,225
2,Zebronics Zeb-Rise Wired USB Optical Mouse with 3 Buttons (Black),229
3,HP X1000 Wired Mouse (Black/Grey),349
4,"Logitech M90 Wired USB Mouse, 1000 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black",299
5,"Lenovo 300 Wired USB Mouse, GX30M39704",299
6,"iBall FreeGo G20 High Speed Wireless Optical Mouse, Black",499
7,"Portronics Toad 12 Wireless 2.4G Optical Mouse with Ergonomic Design, USB Receiver for Notebook, Laptop, Computer, MacBook, Windows, MacOS, (Blue)",477
8,iBall Freego G100 Premium Wireless Optical Mouse for Windows and Mac (Black),525
9,Dell MS116 1000DPI USB Wired Optical Mouse,399
10,Dell Ms116 275-BBCB Optical Mouse,349
11,Zinq Technologies ZQ233 Wired Mouse with 1000DPI for Laptop and Desktop (Black),199
12,"BKN® USB 2.0 Wired Optical Mouse 2000 DPI for Laptop,Computer,PC etc.- (Black with Red Light)",274
13,Zinq Technologies ZQ233 Wired Mouse with 1000DPI for Laptop and Desktop (Black),199
14,Zebronics ZEB-DLM10 USB Optical Mouse with Premmium Quality and Gold Plated USB,310
15,iBall Style 63 Optical Mouse (Black),275
16,HP USB X500 Wired Optical Sensor Mouse 3 Buttons Windows 8 Supported,429
17,Zebronics Zeb-Comfort+ Wired Mouse,225
18,Zebronics Zeb Power Wired Mouse,195
19,Logitech M100r Wired USB Mouse (Black),368
20,Quantum QHM222 3-Button 1000DPI Wired Optical Mouse (Black),299
21,AmazonBasics 3-Button USB Wired Mouse (Black) - 1.5 M Cable,349
22,Dell MS116 USB Optical Mouse (Black),399
23,Targus W600 AMW600AP Wireless Optical Mouse (Black),519
24,Zebronics Zeb-Alex Wired USB Optical Mouse with 3 Buttons,225
25,Zebronics Zeb-Rise Wired USB Optical Mouse with 3 Buttons (Black),229
26,ProDot Universal MU253s USB 1000 DPI Wired Optical Mouse (Black),124
27,HP Wired Mouse 100 (6VY96AA),374
28,Terabyte 3D Optical Wired USB Mouse in Black,202
29,Quantum QHM222 3-Button 1000DPI Wired Optical Mouse (Black),152
30,Amkette Kwik Pro Wired Optical USB Mouse with 3 Button – Black,235
31,Quantum QHM232 3-Button 1000DPI Wired USB Optical Mouse (Black),288
